,Confirmed,Country/Region,Date,Deaths,Last Update,Latitude,Longitude,Province/State,Recovered,Active,Closed
0,1.0,China,01-22-2020,,2020-01-22 17:00:00,,,Anhui,,,
1,14.0,China,01-22-2020,,2020-01-22 17:00:00,,,Beijing,,,
2,6.0,China,01-22-2020,,2020-01-22 17:00:00,,,Chongqing,,,
3,1.0,China,01-22-2020,,2020-01-22 17:00:00,,,Fujian,,,
4,,China,01-22-2020,,2020-01-22 17:00:00,,,Gansu,,,
5,26.0,China,01-22-2020,,2020-01-22 17:00:00,,,Guangdong,,,
6,2.0,China,01-22-2020,,2020-01-22 17:00:00,,,Guangxi,,,
7,1.0,China,01-22-2020,,2020-01-22 17:00:00,,,Guizhou,,,
8,4.0,China,01-22-2020,,2020-01-22 17:00:00,,,Hainan,,,
9,1.0,China,01-22-2020,,2020-01-22 17:00:00,,,Hebei,,,
10,,China,01-22-2020,,2020-01-22 17:00:00,,,Heilongjiang,,,
11,5.0,China,01-22-2020,,2020-01-22 17:00:00,,,Henan,,,
12,,Hong Kong,01-22-2020,,2020-01-22 17:00:00,,,Hong Kong,,,
13,444.0,China,01-22-2020,17.0,2020-01-22 17:00:00,,,Hubei,28.0,399.0,45.0
14,4.0,China,01-22-2020,,2020-01-22 17:00:00,,,Hunan,,,
15,,China,01-22-2020,,2020-01-22 17:00:00,,,Inner Mongolia,,,
16,1.0,China,01-22-2020,,2020-01-22 17:00:00,,,Jiangsu,,,
17,2.0,China,01-22-2020,,2020-01-22 17:00:00,,,Jiangxi,,,
18,,China,01-22-2020,,2020-01-22 17:00:00,,,Jilin,,,
19,2.0,China,01-22-2020,,2020-01-22 17:00:00,,,Liaoning,,,
20,1.0,Macau,01-22-2020,,2020-01-22 17:00:00,,,Macau,,,
21,1.0,China,01-22-2020,,2020-01-22 17:00:00,,,Ningxia,,,
22,,China,01-22-2020,,2020-01-22 17:00:00,,,Qinghai,,,
23,,China,01-22-2020,,2020-01-22 17:00:00,,,Shaanxi,,,
24,2.0,China,01-22-2020,,2020-01-22 17:00:00,,,Shandong,,,
25,9.0,China,01-22-2020,,2020-01-22 17:00:00,,,Shanghai,,,
26,1.0,China,01-22-2020,,2020-01-22 17:00:00,,,Shanxi,,,
27,5.0,China,01-22-2020,,2020-01-22 17:00:00,,,Sichuan,,,
28,1.0,Taiwan,01-22-2020,,2020-01-22 17:00:00,,,Taiwan,,,
29,4.0,China,01-22-2020,,2020-01-22 17:00:00,,,Tianjin,,,
30,,China,01-22-2020,,2020-01-22 17:00:00,,,Tibet,,,
31,1.0,United States,01-22-2020,,2020-01-22 17:00:00,,,Washington,,,
32,,China,01-22-2020,,2020-01-22 17:00:00,,,Xinjiang,,,
33,1.0,China,01-22-2020,,2020-01-22 17:00:00,,,Yunnan,,,
34,10.0,China,01-22-2020,,2020-01-22 17:00:00,,,Zhejiang,,,
35,2.0,Japan,01-22-2020,,2020-01-22 17:00:00,,,NA,,,
36,2.0,Thailand,01-22-2020,,2020-01-22 17:00:00,,,NA,,,
37,1.0,South Korea,01-22-2020,,2020-01-22 17:00:00,,,NA,,,
38,9.0,China,01-23-2020,,2020-01-23 17:00:00,,,Anhui,,,
39,22.0,China,01-23-2020,,2020-01-23 17:00:00,,,Beijing,,,
40,9.0,China,01-23-2020,,2020-01-23 17:00:00,,,Chongqing,,,
41,5.0,China,01-23-2020,,2020-01-23 17:00:00,,,Fujian,,,
42,2.0,China,01-23-2020,,2020-01-23 17:00:00,,,Gansu,,,
43,32.0,China,01-23-2020,,2020-01-23 17:00:00,,,Guangdong,2.0,,
44,5.0,China,01-23-2020,,2020-01-23 17:00:00,,,Guangxi,,,
45,3.0,China,01-23-2020,,2020-01-23 17:00:00,,,Guizhou,,,
46,5.0,China,01-23-2020,,2020-01-23 17:00:00,,,Hainan,,,
47,1.0,China,01-23-2020,1.0,2020-01-23 17:00:00,,,Hebei,,,
48,2.0,China,01-23-2020,,2020-01-23 17:00:00,,,Heilongjiang,,,
49,5.0,China,01-23-2020,,2020-01-23 17:00:00,,,Henan,,,
50,2.0,Hong Kong,01-23-2020,,2020-01-23 17:00:00,,,Hong Kong,,,
51,444.0,China,01-23-2020,17.0,2020-01-23 17:00:00,,,Hubei,28.0,399.0,45.0
52,9.0,China,01-23-2020,,2020-01-23 17:00:00,,,Hunan,,,
53,,China,01-23-2020,,2020-01-23 17:00:00,,,Inner Mongolia,,,
54,5.0,China,01-23-2020,,2020-01-23 17:00:00,,,Jiangsu,,,
55,7.0,China,01-23-2020,,2020-01-23 17:00:00,,,Jiangxi,,,
56,1.0,China,01-23-2020,,2020-01-23 17:00:00,,,Jilin,,,
57,3.0,China,01-23-2020,,2020-01-23 17:00:00,,,Liaoning,,,
58,2.0,Macau,01-23-2020,,2020-01-23 17:00:00,,,Macau,,,
59,1.0,China,01-23-2020,,2020-01-23 17:00:00,,,Ningxia,,,
60,,China,01-23-2020,,2020-01-23 17:00:00,,,Qinghai,,,
61,3.0,China,01-23-2020,,2020-01-23 17:00:00,,,Shaanxi,,,
62,6.0,China,01-23-2020,,2020-01-23 17:00:00,,,Shandong,,,
63,16.0,China,01-23-2020,,2020-01-23 17:00:00,,,Shanghai,,,
64,1.0,China,01-23-2020,,2020-01-23 17:00:00,,,Shanxi,,,
65,8.0,China,01-23-2020,,2020-01-23 17:00:00,,,Sichuan,,,
66,1.0,Taiwan,01-23-2020,,2020-01-23 17:00:00,,,Taiwan,,,
67,4.0,China,01-23-2020,,2020-01-23 17:00:00,,,Tianjin,,,
68,,China,01-23-2020,,2020-01-23 17:00:00,,,Tibet,,,
69,1.0,United States,01-23-2020,,2020-01-23 17:00:00,,,Washington,,,
70,2.0,China,01-23-2020,,2020-01-23 17:00:00,,,Xinjiang,,,
71,2.0,China,01-23-2020,,2020-01-23 17:00:00,,,Yunnan,,,
72,27.0,China,01-23-2020,,2020-01-23 17:00:00,,,Zhejiang,,,
73,1.0,Japan,01-23-2020,,2020-01-23 17:00:00,,,NA,,,
74,3.0,Thailand,01-23-2020,,2020-01-23 17:00:00,,,NA,,,
75,1.0,South Korea,01-23-2020,,2020-01-23 17:00:00,,,NA,,,
76,1.0,Singapore,01-23-2020,,2020-01-23 17:00:00,,,NA,,,
77,,Philippines,01-23-2020,,2020-01-23 17:00:00,,,NA,,,
78,,Malaysia,01-23-2020,,2020-01-23 17:00:00,,,NA,,,
79,2.0,Vietnam,01-23-2020,,2020-01-23 17:00:00,,,NA,,,
80,,Australia,01-23-2020,,2020-01-23 17:00:00,,,NA,,,
81,,Mexico,01-23-2020,,2020-01-23 17:00:00,,,NA,,,
82,,Brazil,01-23-2020,,2020-01-23 17:00:00,,,NA,,,
