Date,China,Japan,Korea,Italy,Iran,Germany,US,Sweden,Norway,Spain,Netherlands,France,UK,Switzerland
2020-01-16,45,,,,,,,,,,,,,
2020-01-17,62,,,,,,,,,,,,,
2020-01-18,121,,,,,,,,,,,,,
2020-01-19,198,,,,,,,,,,,,,
2020-01-20,291,,1,,,,,,,,,,,
2020-01-21,440,,1,,,,1,,,,,,,
2020-01-22,571,,1,,,,,,,,,,,
2020-01-23,830,1,1,,,,,,,,,,,
2020-01-24,1287,2,2,,,,,,,,,,,
2020-01-25,1975,3,2,,,,2,,,,,,,
2020-01-26,2744,4,3,,,,4,,,,,,,
2020-01-27,4515,4,4,,,1,,,,,,,,
2020-01-28,5974,7,4,,,4,,,,,,,,
2020-01-29,7711,8,4,,,,,,,,,,,
2020-01-30,9692,14,6,,,5,5,,,,,,,
2020-01-31,11791,17,11,2,,6,6,1,,,,,2,
2020-02-01,14380,20,12,,,7,7,,,,,,,
2020-02-02,17205,20,15,,,,10,,,,,,,
2020-02-03,20438,20,15,,,9,,,,,,,,
2020-02-04,24324,23,16,,,,,,,,,,,
2020-02-05,28018,25,19,,,,11,,,,,,,
2020-02-06,31161,25,23,3,,10,,,,,,,3,
2020-02-07,34546,25,24,,,12,,,,,,,,
2020-02-08,37198,26,24,,,,,,,,,,,
2020-02-09,40171,26,27,,,,,,,,,,,
2020-02-10,48315,26,27,,,,,,,,,,7,
2020-02-11,55220,28,28,,,14,,,,,,,7,
2020-02-12,58761,29,28,,,,,,,,,,8,
2020-02-13,63851,33,28,,,,,,,,,,,
2020-02-14,66492,41,28,,,,,,,,,,,
2020-02-15,68500,53,28,,,,,,,,,,,
2020-02-16,70548,59,29,,,,,,,,,,,
2020-02-17,72436,66,30,,,,,,,,,,,
2020-02-18,74185,74,31,,,,,,,,,,,
2020-02-19,75003,84,51,,2,,,,,,,,,
2020-02-20,75891,94,104,,5,,13,,,,,,,
2020-02-21,76288,109,204,20,18,,,,,,,,,
2020-02-22,76936,135,433,79,28,,,,,,,,,
2020-02-23,77150,147,602,150,43,,,,,,,,12,
2020-02-24,77658,160,833,227,61,16,,,,,,,,
2020-02-25,78064,171,977,320,95,18,,,,8,,13,,1
2020-02-26,78497,189,1261,398,139,21,14,2,1,14,,18,,2
2020-02-27,78824,214,1766,650,245,26,,7,4,26,1,38,15,8
2020-02-28,79251,233,2337,888,388,53,24,11,7,45,2,57,20,13
2020-02-29,79824,242,3150,1128,593,66,,13,15,59,6,100,21,18
2020-03-01,80026,265,4212,1694,978,117,42,14,19,84,9,130,35,22
2020-03-02,80151,280,4812,2036,1501,155,57,15,25,125,19,191,39,40
2020-03-03,80270,294,5328,2502,2336,196,85,30,33,169,23,212,51,55
2020-03-04,80409,310,5766,3089,2922,240,111,52,54,228,38,285,85,72
2020-03-05,80552,331,6284,3858,3513,349,176,94,84,282,82,423,115,102
2020-03-06,80651,420,6767,4636,4747,534,252,137,111,365,128,613,163,198
2020-03-07,80695,461,7134,5883,5823,684,351,162,145,430,188,949,209,250
2020-03-08,,,,7375,6566,903,,203,167,589,265,1126,273,
2020-03-09,,,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,,,
2020-03-14,,,,,,,,,,,,,,
2020-03-15,,,,,,,,,,,,,,
